21-11-2024 15:07:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:07:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:07:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:07:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:07:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:07:18 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:07:18 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:07:18 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:07:18 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:18 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:07:18 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:07:18 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:18 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:07:18 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:07:18 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:07:18 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:07:18 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:18 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:07:18 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:07:18 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:07:18 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:26 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:26 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:27 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:27 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:28 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:28 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:38 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:38 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:50 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:50 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:11:52 | easy_start | INFO | Trading bot started easy way.
21-11-2024 15:11:53 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:11:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:11:53 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:11:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:11:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:11:53 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:11:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:11:53 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:00 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:00 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:00 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:12:00 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:00 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:00 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:00 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:00 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:10 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:10 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:10 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:10 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:10 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:10 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:10 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:20 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:20 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:20 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:20 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:20 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:20 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:20 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:30 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:30 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:30 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:30 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:30 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:30 | get_statistics | INFO | Accumulated total profit: 0.0
