21-11-2024 15:40:05 | EASY_Big_down_loop | INFO | На состояние 15:40:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:40:05 | EASY_Big_down_loop | INFO | На состояние 15:40:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:40:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:40:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:41:05 | EASY_Big_down_loop | INFO | На состояние 15:41:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:41:05 | EASY_Big_down_loop | INFO | На состояние 15:41:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:41:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:41:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:42:05 | EASY_Big_down_loop | INFO | На состояние 15:42:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:42:05 | EASY_Big_down_loop | INFO | На состояние 15:42:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:42:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:42:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:43:05 | EASY_Big_down_loop | INFO | На состояние 15:43:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:43:05 | EASY_Big_down_loop | INFO | На состояние 15:43:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:43:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:43:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:44:05 | EASY_Big_down_loop | INFO | На состояние 15:44:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:44:05 | EASY_Big_down_loop | INFO | На состояние 15:44:05 активных ставок: 2, денег: 51.002$
21-11-2024 15:44:05 | EASY_Big_down_loop | INFO | Price change detected: 0.127025309484452%
21-11-2024 15:44:05 | EASY_Big_down_loop | INFO | Price change detected: 0.127025309484452%
21-11-2024 15:44:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488262327817293824038
21-11-2024 15:44:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488262328278675456038
21-11-2024 15:44:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.02
21-11-2024 15:44:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.02
21-11-2024 15:44:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488262345794068480038
21-11-2024 15:44:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488262345974452224038
21-11-2024 15:44:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:44:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:45:05 | EASY_Big_down_loop | INFO | На состояние 15:45:05 активных ставок: 3, денег: 51.002$
21-11-2024 15:45:05 | EASY_Big_down_loop | INFO | На состояние 15:45:05 активных ставок: 3, денег: 51.002$
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Success! Got 0.0003419200000001066usdt intrade C02__488262345974452224038
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Bet C02__488262328278675456038 completed and removed.
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Success! Got 0.0003419200000001066usdt intrade C02__488262345794068480038
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Bet C02__488262327817293824038 completed and removed.
21-11-2024 15:45:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:46:05 | EASY_Big_down_loop | INFO | На состояние 15:46:05 активных ставок: 2, денег: 51.003$
21-11-2024 15:46:05 | EASY_Big_down_loop | INFO | Price change detected: 0.12240312062203884%
21-11-2024 15:46:05 | EASY_Big_down_loop | INFO | На состояние 15:46:05 активных ставок: 2, денег: 51.003$
21-11-2024 15:46:06 | EASY_Big_down_loop | INFO | Price change detected: 0.12240312062203884%
21-11-2024 15:46:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488262830219399169038
21-11-2024 15:46:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488262832769568782038
21-11-2024 15:46:09 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:46:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:46:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488262848514973696038
21-11-2024 15:46:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488262850360451072038
21-11-2024 15:46:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:46:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:47:05 | EASY_Big_down_loop | INFO | На состояние 15:47:05 активных ставок: 3, денег: 51.003$
21-11-2024 15:47:05 | EASY_Big_down_loop | INFO | На состояние 15:47:05 активных ставок: 3, денег: 51.003$
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Success! Got -0.0014570000000000416usdt intrade C02__488262848514973696038
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Bet C02__488262830219399169038 completed and removed.
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Success! Got -0.0014570000000000416usdt intrade C02__488262850360451072038
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Bet C02__488262832769568782038 completed and removed.
21-11-2024 15:47:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:48:05 | EASY_Big_down_loop | INFO | На состояние 15:48:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:48:05 | EASY_Big_down_loop | INFO | На состояние 15:48:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:48:07 | EASY_Big_down_loop | INFO | Success! Got 0.00417500000000004usdt intrade C02__488260081939472384038
21-11-2024 15:48:07 | EASY_Big_down_loop | INFO | Bet C02__488260062746341414038 completed and removed.
21-11-2024 15:48:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:48:08 | EASY_Big_down_loop | INFO | Success! Got 0.00417500000000004usdt intrade C02__488260081566183424038
21-11-2024 15:48:08 | EASY_Big_down_loop | INFO | Bet C02__488260062360432642038 completed and removed.
21-11-2024 15:48:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:49:05 | EASY_Big_down_loop | INFO | На состояние 15:49:05 активных ставок: 1, денег: 51.005$
21-11-2024 15:49:05 | EASY_Big_down_loop | INFO | На состояние 15:49:05 активных ставок: 1, денег: 51.005$
21-11-2024 15:49:05 | EASY_Big_down_loop | INFO | Starting iteration
